id,store,sales,location,min_weekly_visits,max_weekly_visits,mandatory_monday_visit,min_visit_duration,max_visit_duration,min_service_duration,max_service_duration,mon_open,mon_close,tue_open,tue_close,wed_open,wed_close,thu_open,thu_close,fri_open,fri_close,sat_open,sat_close,sun_open,sun_close
s_id_11,"Bodega Aurrera, Los Fresnos","$1,606,647","25.7745482,-100.2583204",0,2,0,120,180,0,360,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00
s_id_12,"Bodega Aurrera, Mitras","$1,092,662","25.7747901,-100.4274969",0,2,0,120,180,0,360,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00
s_id_13,"Bodega Aurrera, Pueblo Nuevo","$1,282,964","25.7597318,-100.1737668",0,2,0,120,180,0,360,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00
s_id_14,"Bodega Aurrera, San Miguel","$1,005,472","25.7226102,-100.1983822",0,2,0,120,180,0,360,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00
s_id_23,"Del Sol, (Mty.) Padre Mier","$2,141,225","25.6685394,-100.3148968",1,2,0,180,180,180,180,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00,10:00:00,21:00:00
s_id_16,"Bodega Aurrera, Topochico","$1,052,120","25.7395017,-100.341941",0,2,0,120,180,0,360,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00
s_id_17,"Bodega Aurrera, Valle De Lincoln","$1,259,309","25.7887383,-100.4894732",0,2,0,120,180,0,360,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00
s_id_18,"Bodega Aurrera, Villa De Juarez","$1,270,130","25.6423869,-100.1657461",0,2,0,120,180,0,360,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00
s_id_19,"Bodega Aurrera, Villa Garcia","$1,463,157","25.7899805,-100.58064",0,2,0,120,180,0,360,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00
s_id_20,"Bodega Aurrera, Zua Zua","$1,185,305","25.9065868,-100.1674812",0,2,0,120,180,0,360,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00,8:00:00,22:00:00
